dataset,representation,predictor,seed,variant,test_rows,unique_test_predictions,test_prediction_min,test_prediction_max,test_prediction_range,endpoint_constant,role,best_step,path,sha256
CHEMBL1862_Ki,molformer,mlp,11,label_permuted,236,236,-2.150384426116944,-1.4455087184906006,0.7048757076263432,False,confirmation,0,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--mlp--CHEMBL1862_Ki--molformer--seed11.pt,8db08c1ebce2be84965101cd376cbe4c1005e4fc3c10da5f934d0df5a97fbc80
CHEMBL1862_Ki,molformer,mlp,23,label_permuted,236,236,-2.0960309505462646,-1.3568639755249023,0.7391669750213623,False,confirmation,0,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--mlp--CHEMBL1862_Ki--molformer--seed23.pt,f4ddc55450a85425daf89b6f1354290c17a26ce54df531420b44aa2da4c19323
CHEMBL1862_Ki,molformer,mlp,42,label_permuted,236,236,-1.995112657546997,-1.5163863897323608,0.47872626781463623,False,confirmation,0,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--mlp--CHEMBL1862_Ki--molformer--seed42.pt,b4029f06775d40c85f741393edd5f8a01cd91230ae2b123392c0e3f2ad3c2514
CHEMBL1862_Ki,molformer,xgboost,11,label_permuted,236,20,-1.9029788970947263,-1.6916396617889404,0.2113392353057859,False,confirmation,0,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--xgboost--CHEMBL1862_Ki--molformer--seed11.json,3b0b7a637b4a951087de027f252b375287677fd4950ab8f9cdbf5d546941bb48
CHEMBL1862_Ki,molformer,xgboost,23,label_permuted,236,206,-2.190525531768799,-1.5103009939193726,0.6802245378494263,False,confirmation,5,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--xgboost--CHEMBL1862_Ki--molformer--seed23.json,aaa26c2adfede12a0af3c988f087d88a4947a1a11112e22b7991ea9ae0efd348
CHEMBL1862_Ki,molformer,xgboost,42,label_permuted,236,232,-2.051003932952881,-1.2496823072433472,0.8013216257095337,False,confirmation,9,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--xgboost--CHEMBL1862_Ki--molformer--seed42.json,71846973a0e64f50ba29b7b501e0a4e1c836e720bbbdf018889e07d7b9da464a
CHEMBL1862_Ki,morgan,mlp,11,label_permuted,236,236,-2.3039841651916504,-1.5287665128707886,0.7752176523208618,False,confirmation,0,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--mlp--CHEMBL1862_Ki--morgan--seed11.pt,455847ee96906986835f5daf9ed91b6e9c473ddf681710c85d2c8725cf965293
CHEMBL1862_Ki,morgan,mlp,23,label_permuted,236,236,-2.181360244750977,-1.0027624368667605,1.1785978078842165,False,confirmation,1,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--mlp--CHEMBL1862_Ki--morgan--seed23.pt,ded40e3fe1d2d84c7fb700d62dd67e6f155ba8a133141ee2347813df427f7710
CHEMBL1862_Ki,morgan,mlp,42,label_permuted,236,236,-2.07745099067688,-1.3698458671569824,0.7076051235198975,False,confirmation,0,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--mlp--CHEMBL1862_Ki--morgan--seed42.pt,95b4c16b73cb7760f359fdd16ebb56eb7bbbf309d7c1a705e480e357765e5bc6
CHEMBL1862_Ki,morgan,xgboost,11,label_permuted,236,8,-1.9125373363494875,-1.613032341003418,0.29950499534606956,False,confirmation,1,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--xgboost--CHEMBL1862_Ki--morgan--seed11.json,c9f78d52ccf1567b6c0f69e8a22f1683db1ca0e968206d223262bcedebd26033
